Citable Reference,Context Description,Title,Description,Start Date,Start Date (num),End Date,End Date (num),Covering Dates,Held by,Catalogue level,References,Opening Date,Closure Status,Closure Type,Closure Code,Subjects,Digitised,ID,Score
BT 52/1,Non-textiles Designs Representations,Designs 518644-519080,"Designs 518644-519080.
Note: Designs 518415-518643 registered under this Act are bound with last registrations under the earlier Act. See BT 50/709",08/01/1908,19080108,21/01/1908,19080121,1908 Jan. 8 - Jan. 21,"The National Archives, Kew",6,,,"Open Document, Open Description",Normal Closure before FOI Act:,30,"C10005 Art, architecture and design;
        C10108 Trade and commerce",,C440464,0
BT 52/2,Non-textiles Designs Representations,Designs 519081-519520,Designs 519081-519520.,21/01/1908,19080121,01/02/1908,19080201,1908 Jan. 21 - Feb. 1,"The National Archives, Kew",6,,,"Open Document, Open Description",Normal Closure before FOI Act:,30,"C10005 Art, architecture and design;
        C10108 Trade and commerce",,C440465,0
BT 52/3,Non-textiles Designs Representations,Designs 519521-519912,Designs 519521-519912.,01/02/1908,19080201,08/02/1908,19080208,1908 Feb. 1 - Feb. 8,"The National Archives, Kew",6,,,"Open Document, Open Description",Normal Closure before FOI Act:,30,"C10005 Art, architecture and design;
        C10108 Trade and commerce",,C440466,0
BT 52/4,Non-textiles Designs Representations,Designs 519913-520285,Designs 519913-520285.,08/02/1908,19080208,17/02/1908,19080217,1908 Feb. 8 - Feb. 17,"The National Archives, Kew",6,,,"Open Document, Open Description",Normal Closure before FOI Act:,30,"C10005 Art, architecture and design;
        C10108 Trade and commerce",,C440467,0
BT 52/5,Non-textiles Designs Representations,Designs 520286-520643,Designs 520286-520643.,17/02/1908,19080217,25/02/1908,19080225,1908 Feb. 17 - Feb. 25,"The National Archives, Kew",6,,,"Open Document, Open Description",Normal Closure before FOI Act:,30,"C10005 Art, architecture and design;
        C10108 Trade and commerce",,C440468,0
BT 52/6,Non-textiles Designs Representations,Designs 520644-521005,Designs 520644-521005.,25/02/1908,19080225,04/03/1908,19080304,1908 Feb. 25 - Mar. 4,"The National Archives, Kew",6,,,"Open Document, Open Description",Normal Closure before FOI Act:,30,"C10005 Art, architecture and design;
        C10108 Trade and commerce",,C440469,0
BT 52/7,Non-textiles Designs Representations,Designs 521006-521378,Designs 521006-521378.,04/03/1908,19080304,12/03/1908,19080312,1908 Mar. 4 - Mar. 12,"The National Archives, Kew",6,,,"Open Document, Open Description",Normal Closure before FOI Act:,30,"C10005 Art, architecture and design;
        C10108 Trade and commerce",,C440470,0
BT 52/8,Non-textiles Designs Representations,Designs 521379-521765,Designs 521379-521765.,12/03/1908,19080312,19/03/1908,19080319,1908 Mar. 12 - Mar. 19,"The National Archives, Kew",6,,,"Open Document, Open Description",Normal Closure before FOI Act:,30,"C10005 Art, architecture and design;
        C10108 Trade and commerce",,C440471,0
BT 52/9,Non-textiles Designs Representations,Designs 521766-522147,Designs 521766-522147.,19/03/1908,19080319,28/03/1908,19080328,1908 Mar. 19 - Mar. 28,"The National Archives, Kew",6,,,"Open Document, Open Description",Normal Closure before FOI Act:,30,"C10005 Art, architecture and design;
        C10108 Trade and commerce",,C440472,0
BT 52/10,Non-textiles Designs Representations,Designs 522148-522535,Designs 522148-522535.,28/03/1908,19080328,07/04/1908,19080407,1908 Mar. 28 - Apr. 7,"The National Archives, Kew",6,,,"Open Document, Open Description",Normal Closure before FOI Act:,30,"C10005 Art, architecture and design;
        C10108 Trade and commerce",,C440473,0
BT 52/11,Non-textiles Designs Representations,Designs 522536-522918,Designs 522536-522918.,07/04/1908,19080407,14/04/1908,19080414,1908 Apr. 7 - Apr. 14,"The National Archives, Kew",6,,,"Open Document, Open Description",Normal Closure before FOI Act:,30,"C10005 Art, architecture and design;
        C10108 Trade and commerce",,C440474,0
